"일련번호","콘텐츠명","소셜네트워크명","등록일시","공유타입"
152,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-18","contents"
154,"제주김만복(만복이네김밥집)","facebook","2018-04-19","contents"
155,"한라산국립공원","facebook","2018-04-19","contents"
156,"한라산국립공원","twitter","2018-04-19","contents"
157,"한라산국립공원","kakaostory","2018-04-19","contents"
168,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-04-24","contents"
169,"성산일출봉(UNESCO 세계자연유산)","twitter","2018-04-24","contents"
180,"협재해수욕장","kakaostory","2018-04-27","contents"
181,"협재해수욕장","facebook","2018-04-27","contents"
182,"협재해수욕장","twitter","2018-04-27","contents"
207,"성산일출봉(UNESCO 세계자연유산)","twitter","2018-05-03","contents"
208,"관덕정","kakaostory","2018-05-04","contents"
209,"관덕정","twitter","2018-05-04","contents"
247,"삼다공원  야간콘서트","kakaostory","2018-05-24","contents"
248,"삼다공원  야간콘서트","twitter","2018-05-24","contents"
150,"한라산국립공원","kakaostory","2018-04-18","contents"
220,"천지연폭포","kakaostory","2018-05-10","contents"
221,"천지연폭포","facebook","2018-05-10","contents"
193,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-30","contents"
194,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-04-30","contents"
195,"성산일출봉(UNESCO 세계자연유산)","twitter","2018-04-30","contents"
196,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-04-30","contents"
153,"중문어촌계해녀의집","kakaostory","2018-04-18","contents"
236,"한라산국립공원","twitter","2018-05-21","contents"
273,"삼다공원  야간콘서트","facebook","2018-05-30","contents"
274,"가시식당","kakaostory","2018-05-30","contents"
277,"삼다공원  야간콘서트","kakaostory","2018-05-31","contents"
390,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-06","contents"
392,"중문단지 축구장","facebook","2018-06-06","contents"
419,"인한복","kakaostory","2018-06-08","contents"
472,"사려니숲 에코힐링 체험","twitter","2018-06-10","contents"
514,"한림민속오일시장","twitter","2018-06-12","contents"
516,"사려니숲길","kakaostory","2018-06-12","contents"
517,"사려니숲길","kakaostory","2018-06-12","contents"
518,"천지연폭포","kakaostory","2018-06-12","contents"
716,"구름밭하우스","kakaostory","2018-06-23","contents"
717,"아침미소목장","kakaostory","2018-06-23","contents"
718,"김녕해수욕장","kakaostory","2018-06-23","contents"
719,"김녕해수욕장","kakaostory","2018-06-23","contents"
743,"월정리해변","facebook","2018-06-24","contents"
744,"서귀포치유의숲","kakaostory","2018-06-24","contents"
752,"새연교 콘서트","facebook","2018-06-24","contents"
753,"새연교 콘서트","twitter","2018-06-24","contents"
754,"황우지해안","kakaostory","2018-06-25","contents"
755,"아쿠아플라넷 제주","kakaostory","2018-06-25","contents"
756,"마노르블랑","kakaostory","2018-06-25","contents"
757,"서귀포치유의숲","kakaostory","2018-06-25","contents"
758,"2018년 7월 놓치지 말아야 할 제주 관광 10선 <핫 썸머~! 핫한 섬과 썸타자>","kakaostory","2018-06-25","contents"
759,"싱계물 공원","kakaostory","2018-06-25","contents"
760,"맛 따라, 향 따라 <제주 평대리 마을 구석구석>","kakaostory","2018-06-25","contents"
761,"정방폭포","kakaostory","2018-06-25","contents"
762,"루스톤빌라앤호텔","kakaostory","2018-06-25","contents"
763,"골든튤립 제주 성산호텔","kakaostory","2018-06-25","contents"
764,"월령203","kakaostory","2018-06-25","contents"
765,"함덕 멘도롱장","facebook","2018-06-25","contents"
766,"명진전복","kakaostory","2018-06-26","contents"
767,"오현단","kakaostory","2018-06-26","contents"
768,"곽지해수욕장","kakaostory","2018-06-26","contents"
769,"에코랜드 테마파크","facebook","2018-06-26","contents"
770,"황우지해안","kakaostory","2018-06-26","contents"
771,"금악오름(왕매)","facebook","2018-06-26","contents"
772,"금악오름(왕매)","facebook","2018-06-26","contents"
773,"함덕해수욕장","facebook","2018-06-26","contents"
774,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-26","contents"
775,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-26","contents"
776,"천지연폭포","facebook","2018-06-26","contents"
777,"바당꺼몬딱","facebook","2018-06-26","contents"
778,"쇠소깍","kakaostory","2018-06-26","contents"
779,"쇠소깍","kakaostory","2018-06-26","contents"
780,"카멜리아힐","kakaostory","2018-06-26","contents"
781,"제주 패러글라이딩 스쿨","twitter","2018-06-26","contents"
782,"천지연폭포","facebook","2018-06-26","contents"
783,"우도(해양도립공원)","kakaostory","2018-06-26","contents"
784,"쇠소깍","kakaostory","2018-06-26","contents"
785,"사려니숲길","kakaostory","2018-06-26","contents"
786,"산호상점","kakaostory","2018-06-27","contents"
787,"캠핑트리펜션","facebook","2018-06-27","contents"
788,"우도(해양도립공원)","kakaostory","2018-06-27","contents"
789,"우도(해양도립공원)","facebook","2018-06-27","contents"
790,"동백동산","kakaostory","2018-06-27","contents"
791,"월령선인장군락지","facebook","2018-06-27","contents"
792,"월령선인장군락지","kakaostory","2018-06-27","contents"
793,"한담해변","kakaostory","2018-06-27","contents"
794,"우도(해양도립공원)","facebook","2018-06-27","contents"
795,"비자림","kakaostory","2018-06-27","contents"
796,"우도(해양도립공원)","kakaostory","2018-06-27","contents"
797,"2018년 7월 놓치지 말아야 할 제주 관광 10선 <핫 썸머~! 핫한 섬과 썸타자>","kakaostory","2018-06-27","contents"
798,"월정 투명카약","kakaostory","2018-06-27","contents"
265,"비자림","facebook","2018-05-30","contents"
266,"비자림","twitter","2018-05-30","contents"
267,"비자림","twitter","2018-05-30","contents"
283,"델문도","kakaostory","2018-06-01","contents"
287,"서귀포치유의숲","facebook","2018-06-01","contents"
303,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-01","contents"
304,"삼다공원  야간콘서트","facebook","2018-06-02","contents"
321,"사려니숲길","kakaostory","2018-06-03","contents"
326,"제주올레 8코스","kakaostory","2018-06-03","contents"
331,"산방식당(모슬포본점)","kakaostory","2018-06-03","contents"
332,"비자림","kakaostory","2018-06-04","contents"
333,"비자림","twitter","2018-06-04","contents"
334,"비자림","twitter","2018-06-04","contents"
341,"협재해수욕장","twitter","2018-06-04","contents"
342,"협재해수욕장","facebook","2018-06-04","contents"
343,"협재해수욕장","twitter","2018-06-04","contents"
344,"협재해수욕장","kakaostory","2018-06-04","contents"
345,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-04","contents"
346,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-06-04","contents"
347,"제주오름승마랜드","kakaostory","2018-06-04","contents"
348,"제주오름승마랜드","kakaostory","2018-06-04","contents"
349,"리치망고","kakaostory","2018-06-04","contents"
350,"리치망고","kakaostory","2018-06-04","contents"
351,"아침미소목장","kakaostory","2018-06-04","contents"
352,"만장굴","kakaostory","2018-06-04","contents"
353,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-04","contents"
354,"우도(해양도립공원)","facebook","2018-06-05","contents"
355,"우도(해양도립공원)","twitter","2018-06-05","contents"
356,"제주하늘을날다(패러글라이딩)","facebook","2018-06-05","contents"
357,"청수곶자왈","facebook","2018-06-05","contents"
358,"청수곶자왈","twitter","2018-06-05","contents"
362,"한라산국립공원","facebook","2018-06-05","contents"
386,"메종글래드 제주","kakaostory","2018-06-06","contents"
387,"만장굴","twitter","2018-06-06","contents"
391,"비자림","kakaostory","2018-06-06","contents"
393,"에코파티","kakaostory","2018-06-06","contents"
397,"제주다원 녹차미로공원","kakaostory","2018-06-07","contents"
398,"에코랜드 테마파크","twitter","2018-06-07","contents"
400,"메이즈랜드","kakaostory","2018-06-07","contents"
401,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-07","contents"
402,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-07","contents"
403,"함덕해수욕장","kakaostory","2018-06-07","contents"
410,"바다를본돼지(판포점)","kakaostory","2018-06-07","contents"
411,"카멜리아힐","facebook","2018-06-07","contents"
412,"곽지해수욕장","twitter","2018-06-08","contents"
413,"함덕해수욕장","kakaostory","2018-06-08","contents"
415,"오르막가든","twitter","2018-06-08","contents"
421,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","facebook","2018-06-08","contents"
429,"아모렉스리조트","kakaostory","2018-06-08","contents"
435,"보롬왓","kakaostory","2018-06-08","contents"
436,"한림공원 '제1회 부겐빌레아 꽃축제'","kakaostory","2018-06-08","contents"
441,"천지연폭포","kakaostory","2018-06-09","contents"
444,"제주곶자왈도립공원","kakaostory","2018-06-09","contents"
445,"제주곶자왈도립공원","facebook","2018-06-09","contents"
462,"사려니숲 에코힐링 체험","facebook","2018-06-10","contents"
465,"사려니숲길","facebook","2018-06-10","contents"
466,"탑동해변공연장","facebook","2018-06-10","contents"
468,"만장굴","twitter","2018-06-10","contents"
473,"비자림","kakaostory","2018-06-10","contents"
474,"천지연폭포","kakaostory","2018-06-10","contents"
475,"천지연폭포","kakaostory","2018-06-10","contents"
476,"호스텔린든(Hostel lyndon)","kakaostory","2018-06-11","contents"
477,"호스텔린든(Hostel lyndon)","facebook","2018-06-11","contents"
478,"호스텔린든(Hostel lyndon)","kakaostory","2018-06-11","contents"
479,"호스텔린든(Hostel lyndon)","twitter","2018-06-11","contents"
480,"나미송 머무는 곳","kakaostory","2018-06-11","contents"
483,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-11","contents"
485,"수상한소금밭게스트하우스","kakaostory","2018-06-11","contents"
486,"황우지해안","kakaostory","2018-06-11","contents"
492,"가족들과 즐거운 스킨십 <제주와 더 가까워지는 제주마을 & 생태체험>","kakaostory","2018-06-11","contents"
501,"소인국테마파크","kakaostory","2018-06-12","contents"
505,"애월 한담 카약","kakaostory","2018-06-12","contents"
506,"제주불빛정원 테마파크","kakaostory","2018-06-12","contents"
507,"비자림","facebook","2018-06-12","contents"
519,"오설록티뮤지엄","kakaostory","2018-06-12","contents"
520,"오설록티뮤지엄","facebook","2018-06-12","contents"
521,"제주월드컵경기장","facebook","2018-06-12","contents"
526,"비자림","kakaostory","2018-06-12","contents"
527,"비자림","kakaostory","2018-06-12","contents"
530,"아침미소목장","kakaostory","2018-06-13","contents"
533,"카멜리아힐","kakaostory","2018-06-13","contents"
534,"아침미소목장","kakaostory","2018-06-13","contents"
537,"제주김만복(만복이네김밥집)","kakaostory","2018-06-13","contents"
538,"제주김만복(만복이네김밥집)","kakaostory","2018-06-13","contents"
544,"카멜리아힐","kakaostory","2018-06-13","contents"
545,"사려니숲길","kakaostory","2018-06-13","contents"
546,"곽지해수욕장","facebook","2018-06-13","contents"
555,"사려니숲 에코힐링 체험","kakaostory","2018-06-14","contents"
556,"사려니숲길","kakaostory","2018-06-14","contents"
559,"제주절물자연휴양림","twitter","2018-06-14","contents"
561,"일출랜드","kakaostory","2018-06-15","contents"
562,"사려니숲길","kakaostory","2018-06-15","contents"
568,"지니어스 로사이","kakaostory","2018-06-15","contents"
569,"천제연폭포","facebook","2018-06-15","contents"
570,"휴양팬션 스위스마을 Swiss Village Pension","kakaostory","2018-06-15","contents"
571,"휴양팬션 스위스마을 Swiss Village Pension","facebook","2018-06-15","contents"
572,"명당양과","kakaostory","2018-06-15","contents"
573,"비자림","kakaostory","2018-06-15","contents"
576,"용출횟집","facebook","2018-06-16","contents"
579,"에코파티","kakaostory","2018-06-16","contents"
580,"에코파티","kakaostory","2018-06-16","contents"
591,"월정리갈비밥","kakaostory","2018-06-16","contents"
592,"서귀포치유의숲","kakaostory","2018-06-16","contents"
593,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-16","contents"
594,"월정리해변","facebook","2018-06-16","contents"
603,"제주칠성로상가","kakaostory","2018-06-17","contents"
604,"제주 패러글라이딩 스쿨","facebook","2018-06-17","contents"
605,"삼다공원  야간콘서트","facebook","2018-06-17","contents"
608,"다이브게스트하우스","kakaostory","2018-06-17","contents"
610,"엘마르게스트하우스","kakaostory","2018-06-17","contents"
611,"금능해수욕장","kakaostory","2018-06-17","contents"
612,"우도피아","kakaostory","2018-06-17","contents"
613,"금룡사 템플스테이","twitter","2018-06-17","contents"
614,"제주월드컵경기장","kakaostory","2018-06-17","contents"
643,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-19","contents"
644,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-06-19","contents"
647,"곽지박사장&김사장네","kakaostory","2018-06-19","contents"
648,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-19","contents"
649,"오는정김밥","kakaostory","2018-06-19","contents"
650,"협재굴(한림공원)","kakaostory","2018-06-19","contents"
284,"주상절리대(중문대포해안)","kakaostory","2018-06-01","contents"
298,"빠라빠빵","kakaostory","2018-06-01","contents"
299,"월정리해변","facebook","2018-06-01","contents"
420,"성산일출봉(UNESCO 세계자연유산)","facebook","2018-06-08","contents"
422,"가족들과 즐거운 스킨십 <제주와 더 가까워지는 제주마을 & 생태체험>","facebook","2018-06-08","contents"
424,"월정리해변","kakaostory","2018-06-08","contents"
469,"제주라프 짚라인","kakaostory","2018-06-10","contents"
482,"협재해수욕장","twitter","2018-06-11","contents"
484,"황우지해안","kakaostory","2018-06-11","contents"
487,"아날로그감귤밭","kakaostory","2018-06-11","contents"
504,"봄날카페","kakaostory","2018-06-12","contents"
523,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-12","contents"
524,"금능해수욕장","kakaostory","2018-06-12","contents"
525,"금능해수욕장","kakaostory","2018-06-12","contents"
528,"안덕계곡","twitter","2018-06-12","contents"
529,"안덕계곡","kakaostory","2018-06-12","contents"
535,"제주김만복(만복이네김밥집)","kakaostory","2018-06-13","contents"
536,"제주김만복(만복이네김밥집)","kakaostory","2018-06-13","contents"
539,"우도(해양도립공원)","kakaostory","2018-06-13","contents"
541,"황우지해안","kakaostory","2018-06-13","contents"
542,"협재해녀의집","kakaostory","2018-06-13","contents"
543,"곽지해수욕장","kakaostory","2018-06-13","contents"
551,"사려니숲길","kakaostory","2018-06-14","contents"
553,"비자림","twitter","2018-06-14","contents"
554,"롯데호텔 제주","facebook","2018-06-14","contents"
557,"사려니숲 에코힐링 체험","kakaostory","2018-06-14","contents"
558,"사려니숲길","kakaostory","2018-06-14","contents"
564,"2023 청수 곶자왈 반딧불이 축제","kakaostory","2018-06-15","contents"
581,"우도(해양도립공원)","facebook","2018-06-16","contents"
582,"우도(해양도립공원)","twitter","2018-06-16","contents"
583,"용머리해안","kakaostory","2018-06-16","contents"
584,"용머리해안","kakaostory","2018-06-16","contents"
585,"협재해녀의집","kakaostory","2018-06-16","contents"
586,"제주이글루","kakaostory","2018-06-16","contents"
587,"비자림","kakaostory","2018-06-16","contents"
588,"제주실탄사격장","kakaostory","2018-06-16","contents"
589,"제주실탄사격장","kakaostory","2018-06-16","contents"
590,"섭지코지","twitter","2018-06-16","contents"
626,"우도등대","kakaostory","2018-06-18","contents"
627,"성산일출봉(UNESCO 세계자연유산)","kakaostory","2018-06-18","contents"
628,"김경숙해바라기농장","facebook","2018-06-18","contents"
629,"휴양팬션 스위스마을 Swiss Village Pension","kakaostory","2018-06-18","contents"
630,"제주월드컵경기장","facebook","2018-06-18","contents"
631,"제주월드컵경기장","twitter","2018-06-18","contents"
632,"우도등대","facebook","2018-06-18","contents"
651,"사려니숲 에코힐링 체험","facebook","2018-06-19","contents"
652,"사려니숲길","kakaostory","2018-06-19","contents"
653,"제주오름승마랜드","kakaostory","2018-06-20","contents"
658,"섭지코지 해녀밥상","kakaostory","2018-06-20","contents"
660,"삼양해안도로","facebook","2018-06-20","contents"
663,"청수곶자왈","kakaostory","2018-06-20","contents"
664,"2018년 6월 놓치지 말아야 할 제주 관광 10선  <꽃과 바다 그리고 별 헤는 제주>","kakaostory","2018-06-20","contents"
665,"호끌락80번지","kakaostory","2018-06-20","contents"
666,"철가방을든해녀","kakaostory","2018-06-20","contents"
667,"철가방을든해녀","kakaostory","2018-06-20","contents"
668,"2018년 7월 놓치지 말아야 할 제주 관광 10선 <핫 썸머~! 핫한 섬과 썸타자>","kakaostory","2018-06-20","contents"
669,"새벽별 펜션","facebook","2018-06-20","contents"
670,"월정리해변","kakaostory","2018-06-20","contents"
671,"월정리해변","kakaostory","2018-06-20","contents"
672,"월정리해변","kakaostory","2018-06-20","contents"
673,"이중섭거리","kakaostory","2018-06-20","contents"
674,"비양봉","facebook","2018-06-20","contents"
675,"카멜리아힐","kakaostory","2018-06-20","contents"
677,"마라도(마라해양도립공원)","kakaostory","2018-06-21","contents"
678,"포니밸리","kakaostory","2018-06-21","contents"
679,"협재해수욕장","kakaostory","2018-06-21","contents"
680,"삼다공원  야간콘서트","kakaostory","2018-06-21","contents"
681,"서귀포유람선","kakaostory","2018-06-21","contents"
682,"협재해수욕장","kakaostory","2018-06-21","contents"
683,"만장굴","kakaostory","2018-06-21","contents"
684,"용담레포츠공원","facebook","2018-06-21","contents"
685,"한화리조트 제주","kakaostory","2018-06-21","contents"
686,"2018년 7월 놓치지 말아야 할 제주 관광 10선 <핫 썸머~! 핫한 섬과 썸타자>","kakaostory","2018-06-21","contents"
687,"명진전복","kakaostory","2018-06-21","contents"
688,"명진전복","kakaostory","2018-06-21","contents"
689,"우도(해양도립공원)","facebook","2018-06-21","contents"
690,"우도(해양도립공원)","twitter","2018-06-21","contents"
691,"우도(해양도립공원)","kakaostory","2018-06-21","contents"
692,"서귀포예술의전당","facebook","2018-06-21","contents"
693,"생각하는정원","twitter","2018-06-21","contents"
694,"카페 사우다드","kakaostory","2018-06-21","contents"
695,"서귀포예술의전당","facebook","2018-06-21","contents"
696,"사려니숲 에코힐링 체험","kakaostory","2018-06-22","contents"
697,"예하게스트하우스","facebook","2018-06-22","contents"
698,"애월해안도로","kakaostory","2018-06-22","contents"
699,"제주추사관","kakaostory","2018-06-22","contents"
700,"사려니숲길","kakaostory","2018-06-22","contents"
701,"우도(해양도립공원)","twitter","2018-06-22","contents"
702,"중문색달해수욕장","kakaostory","2018-06-22","contents"
707,"아침미소목장","kakaostory","2018-06-22","contents"
711,"함덕해수욕장","twitter","2018-06-22","contents"
712,"하효살롱","kakaostory","2018-06-22","contents"
713,"하효살롱","twitter","2018-06-22","contents"
720,"제주빅볼랜드","kakaostory","2018-06-23","contents"
722,"2018년 7월 놓치지 말아야 할 제주 관광 10선 <핫 썸머~! 핫한 섬과 썸타자>","kakaostory","2018-06-23","contents"
723,"사려니숲길","kakaostory","2018-06-23","contents"
